subjects,number_student,rooms,num_seat,day,section
22,22,1,22,1,1
17,23,2,23,1,1
23,23,18,23,1,1
31,26,4,26,1,1
11,27,13,27,1,1
5,31,19,31,1,1
19,35,20,35,1,1
4,36,11,36,1,1
7,36,16,36,1,1
47,36,17,36,1,1
6,38,5,38,1,1
13,40,14,41,1,1
27,40,10,44,1,1
50,40,9,47,1,1
79,40,15,48,1,1
39,22,1,22,1,2
10,25,8,25,1,2
40,26,4,26,1,2
15,27,13,27,1,2
9,31,19,31,1,2
76,36,11,36,1,2
77,36,17,36,1,2
36,38,5,38,1,2
141,40,14,41,1,2
145,40,12,43,1,2
159,40,10,44,1,2
161,40,9,47,1,2
1,39,15,48,1,2
8,39,6,50,1,2
85,22,1,22,1,3
25,23,2,23,1,3
57,23,18,23,1,3
69,25,8,25,1,3
24,27,13,27,1,3
54,31,19,31,1,3
55,35,20,35,1,3
121,36,3,36,1,3
175,36,11,36,1,3
58,37,7,37,1,3
18,39,14,41,1,3
20,39,12,43,1,3
28,39,10,44,1,3
30,39,9,47,1,3
59,39,15,48,1,3
63,39,6,50,1,3
87,22,1,22,1,4
89,23,2,23,1,4
93,23,18,23,1,4
101,25,8,25,1,4
83,26,4,26,1,4
53,27,13,27,1,4
67,31,19,31,1,4
60,35,20,35,1,4
176,36,3,36,1,4
179,36,11,36,1,4
61,35,17,36,1,4
62,37,7,37,1,4
88,38,5,38,1,4
84,39,14,41,1,4
106,39,12,43,1,4
109,39,10,44,1,4
111,39,9,47,1,4
147,39,15,48,1,4
96,22,1,22,2,1
98,23,18,23,2,1
135,26,4,26,2,1
82,35,20,35,2,1
104,35,3,36,2,1
197,35,11,36,2,1
37,34,16,36,2,1
102,38,5,38,2,1
157,39,14,41,2,1
138,38,12,43,2,1
156,38,10,44,2,1
188,38,15,48,2,1
118,22,1,22,2,2
133,23,2,23,2,2
139,23,18,23,2,2
107,25,8,25,2,2
183,26,4,26,2,2
52,34,3,36,2,2
81,34,11,36,2,2
112,34,16,36,2,2
68,37,7,37,2,2
74,37,5,38,2,2
108,37,14,41,2,2
151,37,12,43,2,2
163,37,9,47,2,2
168,37,6,50,2,2
155,22,1,22,2,3
149,23,2,23,2,3
124,25,8,25,2,3
125,25,4,26,2,3
72,27,13,27,2,3
70,31,19,31,2,3
174,34,3,36,2,3
35,33,11,36,2,3
42,33,16,36,2,3
130,33,17,36,2,3
143,33,7,37,2,3
170,33,5,38,2,3
173,33,14,41,2,3
196,33,12,43,2,3
32,32,10,44,2,3
38,32,9,47,2,3
46,32,15,48,2,3
65,32,6,50,2,3
165,22,1,22,2,4
164,23,2,23,2,4
182,23,18,23,2,4
129,25,8,25,2,4
142,25,4,26,2,4
73,27,13,27,2,4
116,31,19,31,2,4
105,32,20,35,2,4
132,32,3,36,2,4
154,32,11,36,2,4
191,32,16,36,2,4
126,31,17,36,2,4
172,31,7,37,2,4
177,31,5,38,2,4
34,30,14,41,2,4
51,30,12,43,2,4
64,30,10,44,2,4
91,30,9,47,2,4
123,30,15,48,2,4
162,30,6,50,2,4
169,22,1,22,3,1
144,25,8,25,3,1
166,25,4,26,3,1
100,27,13,27,3,1
167,30,19,31,3,1
199,30,5,38,3,1
12,29,14,41,3,1
14,29,12,43,3,1
45,29,10,44,3,1
80,29,9,47,3,1
185,22,1,22,3,2
195,23,2,23,3,2
186,22,18,23,3,2
181,25,8,25,3,2
29,24,4,26,3,2
113,27,13,27,3,2
95,29,19,31,3,2
119,29,16,36,3,2
128,29,7,37,3,2
146,29,5,38,3,2
152,29,14,41,3,2
160,29,10,44,3,2
187,29,9,47,3,2
3,28,15,48,3,2
21,28,6,50,3,2
198,22,1,22,3,3
2,21,2,23,3,3
16,21,18,23,3,3
41,24,8,25,3,3
120,27,13,27,3,3
26,28,19,31,3,3
43,28,20,35,3,3
48,28,3,36,3,3
66,28,11,36,3,3
99,28,16,36,3,3
110,28,7,37,3,3
134,28,5,38,3,3
140,28,14,41,3,3
148,28,12,43,3,3
158,28,10,44,3,3
180,28,9,47,3,3
189,28,15,48,3,3
190,27,6,50,3,3
33,21,1,22,3,4
56,21,2,23,3,4
92,21,18,23,3,4
49,24,4,26,3,4
192,27,13,27,3,4
78,24,19,31,3,4
86,24,20,35,3,4
90,24,3,36,3,4
131,24,11,36,3,4
136,24,16,36,3,4
137,24,17,36,3,4
153,24,7,37,3,4
193,24,5,38,3,4
94,21,14,41,3,4
103,21,12,43,3,4
115,21,10,44,3,4
171,21,9,47,3,4
200,21,15,48,3,4
44,20,6,50,3,4
71,20,1,22,4,1
75,20,4,26,4,1
97,20,13,27,4,1
114,20,20,35,4,1
117,20,11,36,4,1
122,20,7,37,4,1
127,20,5,38,4,1
150,20,12,43,4,1
178,20,10,44,4,1
184,20,9,47,4,1
194,20,6,50,4,1
